Iteration 0: Train Loss = 0.548, Test Loss = 0.555, AUC = 0.520, Total time taken =0.041
Iteration 1: Train Loss = 0.474, Test Loss = 0.481, AUC = 0.534, Total time taken =0.031
Iteration 2: Train Loss = 0.385, Test Loss = 0.392, AUC = 0.549, Total time taken =0.032
Iteration 3: Train Loss = 0.291, Test Loss = 0.299, AUC = 0.567, Total time taken =0.030
Iteration 4: Train Loss = 0.220, Test Loss = 0.228, AUC = 0.621, Total time taken =0.028
Iteration 5: Train Loss = 0.254, Test Loss = 0.259, AUC = 0.701, Total time taken =0.028
Iteration 6: Train Loss = 0.206, Test Loss = 0.216, AUC = 0.652, Total time taken =0.026
Iteration 7: Train Loss = 0.217, Test Loss = 0.228, AUC = 0.650, Total time taken =0.027
Iteration 8: Train Loss = 0.194, Test Loss = 0.206, AUC = 0.696, Total time taken =0.030
Iteration 9: Train Loss = 0.182, Test Loss = 0.194, AUC = 0.755, Total time taken =0.029
Iteration 10: Train Loss = 0.182, Test Loss = 0.194, AUC = 0.775, Total time taken =0.028
Iteration 11: Train Loss = 0.169, Test Loss = 0.186, AUC = 0.774, Total time taken =0.029
Iteration 12: Train Loss = 0.171, Test Loss = 0.189, AUC = 0.771, Total time taken =0.026
Iteration 13: Train Loss = 0.159, Test Loss = 0.177, AUC = 0.801, Total time taken =0.028
Iteration 14: Train Loss = 0.162, Test Loss = 0.181, AUC = 0.815, Total time taken =0.026
Iteration 15: Train Loss = 0.150, Test Loss = 0.171, AUC = 0.817, Total time taken =0.028
Iteration 16: Train Loss = 0.148, Test Loss = 0.172, AUC = 0.804, Total time taken =0.028
Iteration 17: Train Loss = 0.143, Test Loss = 0.169, AUC = 0.814, Total time taken =0.030
Iteration 18: Train Loss = 0.138, Test Loss = 0.164, AUC = 0.835, Total time taken =0.026
Iteration 19: Train Loss = 0.137, Test Loss = 0.164, AUC = 0.842, Total time taken =0.030
Iteration 20: Train Loss = 0.131, Test Loss = 0.161, AUC = 0.843, Total time taken =0.028
Iteration 21: Train Loss = 0.129, Test Loss = 0.162, AUC = 0.842, Total time taken =0.027
Iteration 22: Train Loss = 0.125, Test Loss = 0.159, AUC = 0.849, Total time taken =0.028
Iteration 23: Train Loss = 0.122, Test Loss = 0.157, AUC = 0.856, Total time taken =0.025
Iteration 24: Train Loss = 0.120, Test Loss = 0.156, AUC = 0.858, Total time taken =0.025
Iteration 25: Train Loss = 0.116, Test Loss = 0.155, AUC = 0.855, Total time taken =0.028
Iteration 26: Train Loss = 0.114, Test Loss = 0.155, AUC = 0.853, Total time taken =0.027
Iteration 27: Train Loss = 0.111, Test Loss = 0.153, AUC = 0.859, Total time taken =0.027
Iteration 28: Train Loss = 0.109, Test Loss = 0.151, AUC = 0.865, Total time taken =0.025
Iteration 29: Train Loss = 0.107, Test Loss = 0.150, AUC = 0.866, Total time taken =0.025
Iteration 30: Train Loss = 0.104, Test Loss = 0.150, AUC = 0.866, Total time taken =0.026
Iteration 31: Train Loss = 0.102, Test Loss = 0.150, AUC = 0.865, Total time taken =0.028
Iteration 32: Train Loss = 0.099, Test Loss = 0.149, AUC = 0.867, Total time taken =0.027
Iteration 33: Train Loss = 0.097, Test Loss = 0.148, AUC = 0.870, Total time taken =0.028
Iteration 34: Train Loss = 0.095, Test Loss = 0.147, AUC = 0.871, Total time taken =0.027
Iteration 35: Train Loss = 0.093, Test Loss = 0.147, AUC = 0.870, Total time taken =0.028
Iteration 36: Train Loss = 0.091, Test Loss = 0.148, AUC = 0.869, Total time taken =0.029
Iteration 37: Train Loss = 0.089, Test Loss = 0.147, AUC = 0.870, Total time taken =0.034
Iteration 38: Train Loss = 0.087, Test Loss = 0.146, AUC = 0.873, Total time taken =0.031
Iteration 39: Train Loss = 0.086, Test Loss = 0.145, AUC = 0.874, Total time taken =0.028
Iteration 40: Train Loss = 0.084, Test Loss = 0.145, AUC = 0.874, Total time taken =0.029
Iteration 41: Train Loss = 0.082, Test Loss = 0.146, AUC = 0.873, Total time taken =0.026
Iteration 42: Train Loss = 0.081, Test Loss = 0.146, AUC = 0.873, Total time taken =0.027
Iteration 43: Train Loss = 0.079, Test Loss = 0.145, AUC = 0.874, Total time taken =0.028
Iteration 44: Train Loss = 0.078, Test Loss = 0.144, AUC = 0.876, Total time taken =0.027
Iteration 45: Train Loss = 0.076, Test Loss = 0.144, AUC = 0.877, Total time taken =0.028
Iteration 46: Train Loss = 0.075, Test Loss = 0.144, AUC = 0.877, Total time taken =0.027
Iteration 47: Train Loss = 0.073, Test Loss = 0.145, AUC = 0.877, Total time taken =0.027
Iteration 48: Train Loss = 0.072, Test Loss = 0.144, AUC = 0.878, Total time taken =0.025
Iteration 49: Train Loss = 0.071, Test Loss = 0.143, AUC = 0.879, Total time taken =0.027
Iteration 50: Train Loss = 0.070, Test Loss = 0.143, AUC = 0.880, Total time taken =0.030
Iteration 51: Train Loss = 0.068, Test Loss = 0.143, AUC = 0.880, Total time taken =0.026
Iteration 52: Train Loss = 0.067, Test Loss = 0.143, AUC = 0.879, Total time taken =0.027
Iteration 53: Train Loss = 0.066, Test Loss = 0.144, AUC = 0.879, Total time taken =0.031
Iteration 54: Train Loss = 0.065, Test Loss = 0.143, AUC = 0.879, Total time taken =0.028
Iteration 55: Train Loss = 0.064, Test Loss = 0.142, AUC = 0.880, Total time taken =0.031
Iteration 56: Train Loss = 0.063, Test Loss = 0.142, AUC = 0.881, Total time taken =0.026
Iteration 57: Train Loss = 0.062, Test Loss = 0.142, AUC = 0.881, Total time taken =0.029
Iteration 58: Train Loss = 0.061, Test Loss = 0.143, AUC = 0.881, Total time taken =0.026
Iteration 59: Train Loss = 0.060, Test Loss = 0.143, AUC = 0.881, Total time taken =0.026
Iteration 60: Train Loss = 0.059, Test Loss = 0.142, AUC = 0.882, Total time taken =0.027
Iteration 61: Train Loss = 0.058, Test Loss = 0.142, AUC = 0.882, Total time taken =0.030
Iteration 62: Train Loss = 0.057, Test Loss = 0.142, AUC = 0.882, Total time taken =0.030
Iteration 63: Train Loss = 0.056, Test Loss = 0.142, AUC = 0.882, Total time taken =0.030
Iteration 64: Train Loss = 0.055, Test Loss = 0.143, AUC = 0.881, Total time taken =0.029
Iteration 65: Train Loss = 0.054, Test Loss = 0.143, AUC = 0.881, Total time taken =0.028
Iteration 66: Train Loss = 0.054, Test Loss = 0.142, AUC = 0.882, Total time taken =0.031
Iteration 67: Train Loss = 0.053, Test Loss = 0.142, AUC = 0.882, Total time taken =0.029
Iteration 68: Train Loss = 0.052, Test Loss = 0.142, AUC = 0.882, Total time taken =0.029
Iteration 69: Train Loss = 0.051, Test Loss = 0.142, AUC = 0.882, Total time taken =0.028
Iteration 70: Train Loss = 0.051, Test Loss = 0.143, AUC = 0.882, Total time taken =0.030
Iteration 71: Train Loss = 0.050, Test Loss = 0.143, AUC = 0.882, Total time taken =0.028
Iteration 72: Train Loss = 0.049, Test Loss = 0.142, AUC = 0.883, Total time taken =0.030
Iteration 73: Train Loss = 0.049, Test Loss = 0.142, AUC = 0.883, Total time taken =0.030
Iteration 74: Train Loss = 0.048, Test Loss = 0.142, AUC = 0.883, Total time taken =0.029
Iteration 75: Train Loss = 0.048, Test Loss = 0.142, AUC = 0.883, Total time taken =0.027
Iteration 76: Train Loss = 0.047, Test Loss = 0.143, AUC = 0.883, Total time taken =0.031
Iteration 77: Train Loss = 0.047, Test Loss = 0.143, AUC = 0.883, Total time taken =0.029
Iteration 78: Train Loss = 0.046, Test Loss = 0.142, AUC = 0.883, Total time taken =0.031
Iteration 79: Train Loss = 0.046, Test Loss = 0.142, AUC = 0.883, Total time taken =0.027
Iteration 80: Train Loss = 0.045, Test Loss = 0.142, AUC = 0.883, Total time taken =0.031
Iteration 81: Train Loss = 0.045, Test Loss = 0.143, AUC = 0.883, Total time taken =0.031
Iteration 82: Train Loss = 0.044, Test Loss = 0.143, AUC = 0.883, Total time taken =0.033
Iteration 83: Train Loss = 0.044, Test Loss = 0.143, AUC = 0.883, Total time taken =0.030
Iteration 84: Train Loss = 0.043, Test Loss = 0.143, AUC = 0.883, Total time taken =0.027
Iteration 85: Train Loss = 0.043, Test Loss = 0.143, AUC = 0.883, Total time taken =0.026
Iteration 86: Train Loss = 0.043, Test Loss = 0.142, AUC = 0.883, Total time taken =0.032
Iteration 87: Train Loss = 0.042, Test Loss = 0.143, AUC = 0.883, Total time taken =0.031
Iteration 88: Train Loss = 0.042, Test Loss = 0.143, AUC = 0.883, Total time taken =0.029
Iteration 89: Train Loss = 0.041, Test Loss = 0.143, AUC = 0.883, Total time taken =0.028
Iteration 90: Train Loss = 0.041, Test Loss = 0.143, AUC = 0.883, Total time taken =0.031
Iteration 91: Train Loss = 0.041, Test Loss = 0.143, AUC = 0.883, Total time taken =0.030
Iteration 92: Train Loss = 0.041, Test Loss = 0.143, AUC = 0.883, Total time taken =0.028
Iteration 93: Train Loss = 0.040, Test Loss = 0.143, AUC = 0.883, Total time taken =0.030
Iteration 94: Train Loss = 0.040, Test Loss = 0.143, AUC = 0.883, Total time taken =0.042
Iteration 95: Train Loss = 0.040, Test Loss = 0.144, AUC = 0.883, Total time taken =0.027
Iteration 96: Train Loss = 0.040, Test Loss = 0.143, AUC = 0.882, Total time taken =0.029
Iteration 97: Train Loss = 0.039, Test Loss = 0.143, AUC = 0.883, Total time taken =0.027
Iteration 98: Train Loss = 0.039, Test Loss = 0.143, AUC = 0.883, Total time taken =0.028
Iteration 99: Train Loss = 0.039, Test Loss = 0.143, AUC = 0.883, Total time taken =0.027
>>> Done with avg iter_time: 0.028645219802856444
